School,On campus (2013),Housing (2013),Noncampus (2013),Public property (2013),On campus (2012),Housing (2012),Noncampus (2012),Public property (2012),Campus (2011),Housing (2011),Noncampus (2011),Public property (2011)
Ball State,17,9,1,0,8,6,3,0,8,5,1,0
IU Bloomington,15,14,7,0,27,23,6,2,11,7,10,0
Purdue,5,5,8,0,2,1,1,0,3,1,1,0
Notre Dame,15,NA,0,0,7,NA,0,0,8,NA,0,0
Bowling Green,15,11,0,0,11,10,0,0,12,11,0,0
Akron,2,0,0,1,0,0,0,2,1,0,0,2
Kent State,0,NA,0,0,0,NA,0,0,1,NA,0,0
Buffalo,8,3,0,1,12,8,0,4,3,6,0,5
Ohio University,9,8,0,0,9,7,4,2,8,3,1,2
Miami University,18,16,2,0,17,11,1,0,4,3,3,0
Toledo University,1,2,0,0,1,0,0,0,1,1,0,0
Central Michigan,8,7,2,0,6,6,0,1,5,4,0,0
Western Michigan,12,9,0,0,7,4,1,6,3,0,0,3
Eastern Michigan,Dont supply,Don't supply,Don't supply,Don't supply,8,7,0,0,4,4,1,0
Northern Illinois,10,8,2,0,11,9,0,0,5,5,1,0
